"List of known kinase-substrate and phosphatase-substrate pairs for which the EMAP contained interaction scores.",,,,,
"The kinase (or phosphatase) is listed in column A/B, the substrates are listed in column C/D, and the genetic interaction score is listed in column E",,,,,
Kinase,,Substrate,,Score,"Type of interaction"
YBR160W,CDC28,YJL106W,IME2,0.87627,Phosphorylation
YBR160W,CDC28,YLR096W,KIN2,0.236565,Phosphorylation
YBR160W,CDC28,YBR020W,GAL1,0.63862,Phosphorylation
YBR160W,CDC28,YJL187C,SWE1,0.561247,Phosphorylation
YBR160W,CDC28,YLR183C,TOS4,0.041764,Phosphorylation
YBR160W,CDC28,YDR501W,PLM2,0.501926,Phosphorylation
YBR160W,CDC28,YBL056W,PTC3,-0.008488,Phosphorylation
YBR160W,CDC28,YPR054W,SMK1,0.441173,Phosphorylation
YBR160W,CDC28,YNR047W,YNR047W,-0.107736,Phosphorylation
YHR205W,SCH9,YPL004C,LSP1,0.593905,Phosphorylation
YHR205W,SCH9,YGR086C,PIL1,-0.969908,Phosphorylation
YDR477W,SNF1,YER027C,GAL83,1.481113,Phosphorylation
YDR477W,SNF1,YDR422C,SIP1,-3.059775,Phosphorylation
YDR477W,SNF1,YGL208W,SIP2,0.111273,Phosphorylation
YDR477W,SNF1,YJL089W,SIP4,0.313761,Phosphorylation
YDR477W,SNF1,YGL035C,MIG1,0.33166,Phosphorylation
YDR477W,SNF1,YDR028C,REG1,2.357254,Phosphorylation
YNL298W,CLA4,YDR507C,GIN4,-0.058771,Phosphorylation
YNL298W,CLA4,YJL187C,SWE1,-0.785199,Phosphorylation
YDR507C,GIN4,YKL048C,ELM1,-0.495179,Phosphorylation
YDR507C,GIN4,YCL032W,STE50,-0.824955,Phosphorylation
YKL048C,ELM1,YDR477W,SNF1,-9.016723,Phosphorylation
YKL048C,ELM1,YDR507C,GIN4,-0.495179,Phosphorylation
YKL048C,ELM1,YKL101W,HSL1,-1.001197,Phosphorylation
YKL048C,ELM1,YCL024W,KCC4,-0.131641,Phosphorylation
YKL048C,ELM1,YGL035C,MIG1,0.692973,Phosphorylation
YKL048C,ELM1,YJL187C,SWE1,-3.939162,Phosphorylation
YKL101W,HSL1,YJL187C,SWE1,-0.355693,Phosphorylation
YNL307C,MCK1,YKL101W,HSL1,0.012659,Phosphorylation
YDR490C,PKH1,YMR104C,YPK2,0.709294,Phosphorylation
YDR490C,PKH1,YPL004C,LSP1,-0.209307,Phosphorylation
YDR490C,PKH1,YHR205W,SCH9,2.141362,Phosphorylation
YDR490C,PKH1,YGR086C,PIL1,0.404855,Phosphorylation
YOL128C,YGK3,YHR030C,SLT2,-0.61708,Phosphorylation
YJL128C,PBS2,YLR113W,HOG1,1.046985,Phosphorylation
YJL128C,PBS2,YHR030C,SLT2,1.043452,Phosphorylation
YLR113W,HOG1,YKL101W,HSL1,0.185956,Phosphorylation
YLR113W,HOG1,YLR079W,SIC1,0.008973,Phosphorylation
YLR113W,HOG1,YBR182C,SMP1,0.717954,Phosphorylation
YLR113W,HOG1,YLR248W,RCK2,0.474144,Phosphorylation
YNR031C,SSK2,YJL128C,PBS2,-0.045424,Phosphorylation
YHR030C,SLT2,YER111C,SWI4,-15.527066,Phosphorylation
YHR030C,SLT2,YNL053W,MSG5,0.599825,Phosphorylation
YHR030C,SLT2,YLR182W,SWI6,-0.352693,Phosphorylation
YJL095W,BCK1,YPL140C,MKK2,-1.672564,Phosphorylation
YJL095W,BCK1,YOR231W,MKK1,0.350718,Phosphorylation
YPL140C,MKK2,YHR030C,SLT2,-1.974958,Phosphorylation
YOL100W,PKH2,YMR104C,YPK2,-0.215125,Phosphorylation
YOL100W,PKH2,YPL004C,LSP1,0.366879,Phosphorylation
YOL100W,PKH2,YHR205W,SCH9,-3.53833,Phosphorylation
YOL100W,PKH2,YGR086C,PIL1,-0.330193,Phosphorylation
YOL100W,PKH2,YBL105C,PKC1,-1.488766,Phosphorylation
YJR066W,TOR1,YDR283C,GCN2,0.590036,Phosphorylation
YGR040W,KSS1,YJL157C,FAR1,0.105909,Phosphorylation
YPL203W,TPK2,YGL180W,ATG1,-0.219582,Phosphorylation
YPL203W,TPK2,YHL020C,OPI1,-0.247603,Phosphorylation
YPL203W,TPK2,YIL107C,PFK26,0.008314,Phosphorylation
YPL203W,TPK2,YLR377C,FBP1,-0.341148,Phosphorylation
YPL203W,TPK2,YBR028C,YBR028C,-0.177968,Phosphorylation
YPL203W,TPK2,YJL155C,FBP26,0.023266,Phosphorylation
YPL203W,TPK2,YFL033C,RIM15,-1.091564,Phosphorylation
YPL203W,TPK2,YJL141C,YAK1,-0.204917,Phosphorylation
YPL203W,TPK2,YOR140W,SFL1,0.342662,Phosphorylation
YPL203W,TPK2,YAL038W,CDC19,0.018197,Phosphorylation
YJL106W,IME2,YNL312W,RFA2,-0.358401,Phosphorylation
YJL106W,IME2,YJR094C,IME1,-0.820875,Phosphorylation
YJL106W,IME2,YLR079W,SIC1,-0.290428,Phosphorylation
YJL106W,IME2,YDR146C,SWI5,0.696859,Phosphorylation
YJL106W,IME2,YHR124W,NDT80,-0.034288,Phosphorylation
YPL204W,HRR25,YCL032W,STE50,-1.86013,Phosphorylation
YMR139W,RIM11,YJR094C,IME1,0.174743,Phosphorylation
YMR139W,RIM11,YCL032W,STE50,-0.406567,Phosphorylation
YMR001C,CDC5,YJL187C,SWE1,0.539246,Phosphorylation
YBL105C,PKC1,YLR133W,CKI1,-0.289847,Phosphorylation
YBL105C,PKC1,YHL020C,OPI1,0.885541,Phosphorylation
YBL105C,PKC1,YHR030C,SLT2,-1.785595,Phosphorylation
YBL105C,PKC1,YJL095W,BCK1,-1.398909,Phosphorylation
YJL187C,SWE1,YBR160W,CDC28,0.561247,Phosphorylation
YJL164C,TPK1,YGL180W,ATG1,-1.823622,Phosphorylation
YJL164C,TPK1,YDR216W,ADR1,-0.372668,Phosphorylation
YJL164C,TPK1,YLR133W,CKI1,-0.220373,Phosphorylation
YJL164C,TPK1,YHL020C,OPI1,-0.34339,Phosphorylation
YJL164C,TPK1,YIL107C,PFK26,-0.483499,Phosphorylation
YJL164C,TPK1,YNL027W,CRZ1,0.691038,Phosphorylation
YJL164C,TPK1,YLR377C,FBP1,-0.863246,Phosphorylation
YJL164C,TPK1,YBR028C,YBR028C,0.627827,Phosphorylation
YJL164C,TPK1,YFL033C,RIM15,-0.549339,Phosphorylation
YJL164C,TPK1,YMR205C,PFK2,-0.495039,Phosphorylation
YJL164C,TPK1,YAL038W,CDC19,-0.103758,Phosphorylation
YGL179C,TOS3,YER027C,GAL83,0.76883,Phosphorylation
YGL179C,TOS3,YDR477W,SNF1,0.436375,Phosphorylation
YGL179C,TOS3,YGL208W,SIP2,-2.343149,Phosphorylation
YOR061W,CKA2,YER089C,PTC2,-0.10912,Phosphorylation
YOR061W,CKA2,YHL020C,OPI1,-0.505107,Phosphorylation
YOR061W,CKA2,YLR079W,SIC1,0.427027,Phosphorylation
YIL035C,CKA1,YBR160W,CDC28,-0.206233,Phosphorylation
YIL035C,CKA1,YER089C,PTC2,-0.396945,Phosphorylation
YIL035C,CKA1,YHL020C,OPI1,0.242499,Phosphorylation
YIL035C,CKA1,YLR079W,SIC1,0.401899,Phosphorylation
YBR136W,MEC1,YDL101C,DUN1,-0.362977,Phosphorylation
YBR136W,MEC1,YBR274W,CHK1,0.211985,Phosphorylation
YBR136W,MEC1,YCL061C,MRC1,0.093591,Phosphorylation
YKL166C,TPK3,YGL180W,ATG1,1.006703,Phosphorylation
YKL166C,TPK3,YHL020C,OPI1,0.241427,Phosphorylation
YKL166C,TPK3,YIL107C,PFK26,-1.004349,Phosphorylation
YKL166C,TPK3,YNL027W,CRZ1,-0.218634,Phosphorylation
YKL166C,TPK3,YLR377C,FBP1,0.307923,Phosphorylation
YKL166C,TPK3,YBR028C,YBR028C,0.06372,Phosphorylation
YKL166C,TPK3,YJL155C,FBP26,0.068564,Phosphorylation
YKL166C,TPK3,YFL033C,RIM15,0.05966,Phosphorylation
YKL166C,TPK3,YJL141C,YAK1,0.588072,Phosphorylation
YKL166C,TPK3,YMR205C,PFK2,-0.443771,Phosphorylation
YKL166C,TPK3,YAL038W,CDC19,-0.690476,Phosphorylation
YIL147C,SLN1,YLR006C,SSK1,0.869214,Phosphorylation
YOR231W,MKK1,YHR030C,SLT2,2.266491,Phosphorylation
YPL042C,SSN3,YJL089W,SIP4,-2.394747,Phosphorylation
YKL203C,TOR2,YMR104C,YPK2,0.74089,Phosphorylation
YPL153C,RAD53,YDL101C,DUN1,0.290777,Phosphorylation
YPL153C,RAD53,YCL061C,MRC1,-0.741099,Phosphorylation
YPL153C,RAD53,YJL115W,ASF1,0.022815,Phosphorylation
Phosphatase,,Substrate,,Score,"Type of interaction"
"ORF name","Gene name","ORF name","Gene name",,
YDL188C,PPH22,YDR283C,GCN2,1.275497,Dephosphorylation
YDL188C,PPH22,YBR160W,CDC28,-0.245187,Dephosphorylation
YDL188C,PPH22,YJL155C,FBP26,0.409915,Dephosphorylation
YBR125C,PTC4,YLR113W,HOG1,0.532341,Dephosphorylation
YMR036C,MIH1,YBR160W,CDC28,-0.182306,Dephosphorylation
YML016C,PPZ1,YHR030C,SLT2,-4.234074,Dephosphorylation
YML016C,PPZ1,YDR028C,REG1,1.192588,Dephosphorylation
YOR208W,PTP2,YBL016W,FUS3,-0.603344,Dephosphorylation
YOR208W,PTP2,YNL307C,MCK1,-0.552404,Dephosphorylation
YOR208W,PTP2,YLR113W,HOG1,1.254806,Dephosphorylation
YOR208W,PTP2,YHR030C,SLT2,0.453993,Dephosphorylation
YDL006W,PTC1,YLR113W,HOG1,2.632757,Dephosphorylation
YDL006W,PTC1,YHR030C,SLT2,1.081675,Dephosphorylation
YER089C,PTC2,YBR160W,CDC28,0.238574,Dephosphorylation
YER089C,PTC2,YHR079C,IRE1,-0.869288,Dephosphorylation
YER089C,PTC2,YLR113W,HOG1,0.075078,Dephosphorylation
YER089C,PTC2,YPL153C,RAD53,0.682341,Dephosphorylation
YNL053W,MSG5,YBL016W,FUS3,0.177769,Dephosphorylation
YNL053W,MSG5,YHR030C,SLT2,0.599825,Dephosphorylation
YDR436W,PPZ2,YHR030C,SLT2,-1.479763,Dephosphorylation
YDL134C,PPH21,YDR283C,GCN2,0.639131,Dephosphorylation
YDL134C,PPH21,YBR160W,CDC28,0.561493,Dephosphorylation
YDL134C,PPH21,YJL155C,FBP26,-0.280758,Dephosphorylation
YER075C,PTP3,YBL016W,FUS3,-1.056284,Dephosphorylation
YER075C,PTP3,YNL307C,MCK1,0.133529,Dephosphorylation
YER075C,PTP3,YLR113W,HOG1,-1.121949,Dephosphorylation
YER075C,PTP3,YHR030C,SLT2,-6.952999,Dephosphorylation
YLR433C,CNA1,YKL101W,HSL1,-0.817938,Dephosphorylation
YLR433C,CNA1,YML007W,YAP1,-0.252497,Dephosphorylation
YLR433C,CNA1,YNL027W,CRZ1,0.331981,Dephosphorylation
YDL047W,SIT4,YDR283C,GCN2,2.232481,Dephosphorylation
YDL047W,SIT4,YFR040W,SAP155,2.688053,Dephosphorylation
YDL047W,SIT4,YHR030C,SLT2,0.652974,Dephosphorylation
YDL047W,SIT4,YNL183C,NPR1,0.794373,Dephosphorylation
YDL047W,SIT4,YJL098W,SAP185,-0.004317,Dephosphorylation
YIL113W,SDP1,YHR030C,SLT2,-1.833114,Dephosphorylation
YBL056W,PTC3,YBR160W,CDC28,-0.008488,Dephosphorylation
YOR090C,PTC5,YBR160W,CDC28,-0.172965,Dephosphorylation
YML057W,CMP2,YKL101W,HSL1,-2.036396,Dephosphorylation
YML057W,CMP2,YNL027W,CRZ1,-0.198916,Dephosphorylation
"In this analysis we also included kinase or phosphatase regulatory proteins (such as the cyclins, for example).",,,,,
"The kinase (or phosphatase) regulators are listed in column A/B, the substrates are listed in column C/D, and the genetic interaction score is listed in column E",,,,,
"Kinase regulator",,Substrate,,Score,"Type of interaction"
"ORF name","Gene name","ORF name","Gene name",,
YMR199W,CLN1,YJL187C,SWE1,0.217193,Phosphorylation
YPR119W,CLB2,YNL068C,FKH2,-4.599099,Phosphorylation
YPR119W,CLB2,YJL187C,SWE1,1.002386,Phosphorylation
YGL134W,PCL10,YMR311C,GLC8,-0.559108,Phosphorylation
YER027C,GAL83,YJL089W,SIP4,0.98714,Phosphorylation
YER027C,GAL83,YGL035C,MIG1,-0.364354,Phosphorylation
YAL040C,CLN3,YBR200W,BEM1,2.191209,Phosphorylation
YAL040C,CLN3,YJL157C,FAR1,0.625885,Phosphorylation
YAL040C,CLN3,YOR083W,WHI5,3.41094,Phosphorylation
YPR120C,CLB5,YLR079W,SIC1,2.219188,Phosphorylation
YPR120C,CLB5,YNL068C,FKH2,1.550016,Phosphorylation
YPR120C,CLB5,YOR083W,WHI5,0.83176,Phosphorylation
YPR120C,CLB5,YJL187C,SWE1,0.911389,Phosphorylation
YPL256C,CLN2,YLR079W,SIC1,-0.144003,Phosphorylation
YPL256C,CLN2,YJL157C,FAR1,-0.31292,Phosphorylation
YPL256C,CLN2,YOR083W,WHI5,0.667169,Phosphorylation
YGL019W,CKB1,YBR160W,CDC28,0.31309,Phosphorylation
YOR039W,CKB2,YBR160W,CDC28,0.288012,Phosphorylation
YBR135W,CKS1,YLR079W,SIC1,1.188247,Phosphorylation
YMR068W,AVO2,YOL078W,AVO1,0.070356,Phosphorylation
YMR068W,AVO2,YER093C,TSC11,0.092229,Phosphorylation
YCL032W,STE50,YJL128C,PBS2,1.832445,Phosphorylation
YOL001W,PHO80,YFR034C,PHO4,3.063769,Phosphorylation
YOL001W,PHO80,YNL027W,CRZ1,0.306556,Phosphorylation
YOL001W,PHO80,YDR146C,SWI5,0.441409,Phosphorylation
YGL208W,SIP2,YGL035C,MIG1,0.058648,Phosphorylation
YNL289W,PCL1,YLR079W,SIC1,-0.139192,Phosphorylation
YNL289W,PCL1,YOR171C,LCB4,0.514058,Phosphorylation
YDL127W,PCL2,YOR171C,LCB4,-0.279386,Phosphorylation
YDL127W,PCL2,YDR146C,SWI5,0.807228,Phosphorylation
YIL050W,PCL7,YFR034C,PHO4,0.213879,Phosphorylation
YIL050W,PCL7,YMR311C,GLC8,-0.267543,Phosphorylation
YIL050W,PCL7,YLR190W,MMR1,-0.321572,Phosphorylation
YPL219W,PCL8,YMR311C,GLC8,-0.374377,Phosphorylation
YDL179W,PCL9,YFR034C,PHO4,0.990828,Phosphorylation
YJL058C,BIT61,YOL078W,AVO1,-0.156088,Phosphorylation
YJL058C,BIT61,YER093C,TSC11,-0.173645,Phosphorylation
"Phosphatase regulator",,Substrate,,Score,"Type of interaction"
"ORF name","Gene name","ORF name","Gene name",,
YFR040W,SAP155,YNL183C,NPR1,-0.419665,Dephosphorylation
YKL190W,CNB1,YKL101W,HSL1,-0.631546,Dephosphorylation
YKL190W,CNB1,YML007W,YAP1,-1.330736,Dephosphorylation
YKL190W,CNB1,YLR113W,HOG1,0.591987,Dephosphorylation
YKL190W,CNB1,YNL027W,CRZ1,0.675214,Dephosphorylation
YGL190C,CDC55,YMR036C,MIH1,-11.875878,Dephosphorylation
YGL190C,CDC55,YJL155C,FBP26,3.630701,Dephosphorylation
YDR028C,REG1,YDR477W,SNF1,2.357254,Dephosphorylation
YDR028C,REG1,YGL253W,HXK2,2.013803,Dephosphorylation
